,Name,Facility Count,Demand,Facility/Demand
0,California,761,19211831.23144393,3.961100796859355e-05
1,Washington,149,3754099.473760293,3.968994456365702e-05
2,South Carolina,110,2711026.934360489,4.0575030297863194e-05
3,Texas,574,13860819.392632814,4.141169318641347e-05
4,Maryland,132,3077869.3517984734,4.28868106188033e-05
5,Utah,64,1474208.0102484766,4.341314085602672e-05
6,New Mexico,46,1048395.6748612648,4.387656407118164e-05
7,Massachusetts,155,3528089.338082517,4.393312786241434e-05
8,Nevada,69,1526212.712651408,4.520994971934808e-05
9,District of Columbia,16,343458.0904793615,4.658501413569539e-05
10,Vermont,15,321851.3039323559,4.66053727815643e-05
11,Arizona,171,3664764.127541743,4.666057460966899e-05
12,Virginia,205,4261883.384124359,4.8100799933576556e-05
13,Colorado,138,2786021.576220931,4.953299758259181e-05
14,North Carolina,270,5389552.106651033,5.009692728766898e-05
15,Oregon,108,2151729.199132741,5.019218963219425e-05
16,Missouri,159,3096965.704605962,5.1340574990393744e-05
17,Georgia,277,5339193.329812703,5.18804963388949e-05
18,Pennsylvania,343,6563334.710875127,5.226001950375403e-05
19,Hawaii,37,697780.1036037896,5.3025300963595796e-05
20,Illinois,335,6303480.219403715,5.314524490277368e-05
21,Michigan,271,5066541.442361512,5.348816408253577e-05
22,Indiana,179,3341120.84687965,5.357483557267084e-05
23,Arkansas,83,1522055.8913060948,5.453150602030566e-05
24,New Jersey,247,4509091.320235124,5.477822081170898e-05
25,Florida,628,11422876.515946643,5.4977395503076225e-05
26,Tennessee,192,3477827.558525011,5.520687750298624e-05
27,Idaho,49,881520.0742576928,5.558580165206305e-05
28,New York,550,9870892.060015582,5.571938145569508e-05
29,Ohio,333,5935506.644845925,5.610304560759936e-05
30,Alabama,142,2521083.3532565986,5.6324992117603774e-05
31,Delaware,30,512419.7075235276,5.8545757627057224e-05
32,Oklahoma,116,1938377.1344098924,5.984387554969499e-05
33,Connecticut,114,1835064.788013404,6.212314722872188e-05
34,Louisiana,145,2317333.867854049,6.257190731617635e-05
35,New Hampshire,44,700945.2045834942,6.277238179572832e-05
36,Rhode Island,34,539875.7695068227,6.297745133303361e-05
37,Kentucky,144,2243820.551010452,6.417625506422648e-05
38,Mississippi,99,1503995.380786195,6.582467025147975e-05
39,Maine,48,716343.6874644008,6.700694211447964e-05
40,West Virginia,64,915303.64870941,6.992215107002013e-05
41,Wisconsin,215,2909181.048493508,7.39039600547844e-05
42,Minnesota,210,2784602.547073448,7.541471231530154e-05
43,Kansas,109,1422204.3416989406,7.664158855667006e-05
44,Montana,47,534689.2081514063,8.790153098936524e-05
45,Iowa,145,1561640.0942097595,9.285109964685858e-05
46,Nebraska,93,936234.6855966052,9.933406808223173e-05
47,Alaska,33,320947.39425400906,0.00010282058864102395
48,Wyoming,30,276022.317411499,0.00010868686373383159
49,South Dakota,48,429648.841532029,0.00011171914214604428
50,North Dakota,48,357726.90999433387,0.0001341805680784828
